Cash and Equivalents,Current Assets,Fixed Assets,Long-Term Investments,Total Assets,Current Debt,Current Liabilities,Long-Term Debt,Total Liabilities,Equity,Total Equity,Outstanding Shares,Revenue,Operating Income,Income on Equity Investments,Net Income,Total Net Income,Depreciation and Amortization,Operating Cash Flow,Capital Expenditures,Investing Cash Flow,Total Debt Issued,Total Debt Repaid,Stock Buyback,Total Dividends Paid,Financing Cash Flow,ticker,period,year,quarter,reporting_period
"1,412,380,000","7,601,971,000","7,219,399,000","286,057,000","15,674,149,000","5,814,736,000","11,237,432,000","252,872,000","11,744,637,000","3,863,886,000","3,929,512,000",,"19,053,875,000","1,262,111,000","25,000,000","330,300,000","344,035,000","1,447,901,000","2,840,699,000","-2,500,290,000","-2,435,563,000","120,339,000","-356,982,000",,,"-355,466,000",2GO,2016,2016,Q4,2016-12-31 00:00:00
"1,470,697,000","8,512,852,000","6,802,195,000","287,551,000","16,522,847,000","2,594,267,000","7,649,775,000","3,363,681,000","11,283,689,000","5,183,275,000","5,239,158,000",,"4,154,097,000","189,102,000",,"-48,214,000","-44,222,000","359,672,000","536,954,000","-372,759,000","-366,808,000",,"-57,344,000",,,"-56,757,000",2GO,quarter,2016,Q1,2016-03-31 00:00:00
"1,649,629,000","8,760,080,000","7,003,746,000","287,468,000","17,014,550,000","3,116,020,000","7,840,025,000","3,081,369,000","11,213,891,000","5,739,855,000","5,800,659,000",,"5,603,826,000","931,329,000",,"606,345,000","611,266,000","378,270,000","613,480,000","-436,825,000","-479,822,000",,"-78,392,000",,,"105,157,000",2GO,quarter,2016,Q2,2016-06-30 00:00:00
"1,274,770,000","8,525,996,000","7,489,433,000","301,204,000","17,299,123,000","3,245,849,000","8,089,829,000","2,998,011,000","11,370,492,000","5,862,001,000","5,928,631,000",,"4,712,087,000","71,574,000",,"-105,868,000","-100,042,000","351,378,000","486,917,000","-871,122,000","-831,475,000","786,300,000","-85,277,000",,,"-60,680,000",2GO,quarter,2016,Q3,2016-09-30 00:00:00
"1,412,380,000","7,601,971,000","7,219,399,000","286,057,000","15,674,149,000","5,814,736,000","11,237,432,000","252,872,000","11,744,637,000","3,863,886,000","3,929,512,000",,"4,583,863,000","70,104,000","-16,200,000","-121,964,000","-122,968,000","358,581,000","1,203,347,000","-819,584,000","-757,458,000","-21,000,000","-135,969,000",,,"-343,186,000",2GO,quarter,2016,Q4,2016-12-31 00:00:00
"1,357,308,000","7,382,279,000","6,125,276,000","261,736,000","14,273,448,000","2,550,948,000","7,047,406,000","3,384,603,000","10,731,037,000","3,490,520,000","3,542,411,000",,"16,383,335,000","1,463,147,000","58,000,000","97,034,000","109,131,000","995,441,000","1,283,620,000","-1,242,997,000","-1,329,891,000","31,862,000","-108,489,000",,,"292,634,000",2GO,2015,2015,Q4,2015-12-31 00:00:00
"1,051,525,000","7,331,618,000","5,535,778,000","196,217,000","14,086,181,000","1,606,391,000","6,045,171,000","3,648,433,000","9,922,140,000","4,120,434,000","4,164,041,000",,"3,944,684,000","385,171,000",,"269,820,000","273,633,000","227,270,000","177,951,000","-390,192,000","-376,982,000","31,009,000","-5,182,000",,,"15,504,000",2GO,quarter,2015,Q1,2015-03-31 00:00:00
"1,139,810,000","7,781,621,000","5,582,173,000","235,972,000","14,503,450,000","1,587,317,000","5,901,984,000","3,598,203,000","9,758,046,000","4,699,405,000","4,745,404,000",,"4,609,118,000","920,868,000",,"578,412,000","580,804,000","239,275,000","633,171,000","-161,771,000","-292,508,000","-14,369,000","-18,267,000",,,"-252,378,000",2GO,quarter,2015,Q2,2015-06-30 00:00:00
"1,289,469,000","7,678,585,000","5,907,812,000","257,282,000","14,681,540,000","1,850,358,000","6,079,554,000","3,586,521,000","9,875,113,000","4,757,364,999","4,806,426,999",,"3,561,930,000","157,176,000",,"57,470,000","60,534,000","260,895,000","624,776,000","-543,857,000","-627,003,000","13,360,000","-56,322,000",,,"151,886,000",2GO,quarter,2015,Q3,2015-09-30 00:00:00
"1,325,355,000","7,817,506,000","6,698,345,000","261,736,000","15,742,401,000","2,550,948,000","7,109,241,000","3,384,603,000","10,794,171,000","4,896,339,000","4,948,230,000",,"4,302,318,000","342,566,000",,"163,530,000","166,359,000","272,965,000","-161,719,000","-55,787,000","60,674,000","1,862,000","-28,718,000",,,"270,622,000",2GO,quarter,2015,Q4,2015-12-31 00:00:00
"1,101,361,000","7,161,250,000","5,403,570,000","198,658,000","13,916,256,000","1,540,453,000","6,170,550,000","3,622,351,000","10,024,537,000","3,851,925,000","3,891,719,000",,"14,426,995,000","1,155,564,000","11,000,000","827,735,000","842,555,000","809,120,000","1,445,759,000","-1,460,569,000","-1,000,111,000","1,164,000","-30,793,000",,0,"-262,936,000",2GO,2014,2014,Q4,2014-12-31 00:00:00
"918,645,000","6,344,830,000","5,054,932,000","188,884,000","12,521,904,000","1,380,572,000","5,575,588,000","3,686,688,000","9,438,888,000","3,058,042,000","3,083,016,000",,"13,373,193,000","488,422,000","44,800,000","212,044,000","227,081,000","1,068,936,000","1,414,449,000","-1,696,880,000","-1,221,391,000","3,619,952,000","-3,227,568,000",,,"-59,946,000",2GO,2013,2013,Q4,2013-12-31 00:00:00
"786,856,000","5,287,206,000","4,577,306,000","149,250,000","11,294,939,000","2,457,155,000","6,002,744,000","2,230,154,000","8,374,214,000","2,893,425,000","2,920,725,000",,"13,653,631,000","121,831,000",,"-366,084,000","-355,755,000","950,802,000","1,388,705,000","-861,428,000","-446,811,000",,"-837,830,000",,,"-1,070,295,000",2GO,2012,2012,Q4,2012-12-31 00:00:00
"913,574,000","5,927,918,000","4,652,677,000","126,799,000","12,204,863,000","2,057,268,000","5,499,422,000","3,271,153,000","8,931,839,000","3,252,181,000","3,273,024,000",,"12,894,725,000","-332,643,000",,"-614,512,000","-605,849,000","1,118,333,000","-516,356,000","-397,992,000","285,738,000","4,000,000,000","-2,100,633,000",,,"339,524,000",2GO,2011,2011,Q4,2011-12-31 00:00:00
"824,602,000","4,843,894,000","6,196,093,000","124,853,000","12,575,367,000","3,980,236,000","8,522,782,000","60,339,000","8,619,257,000","3,939,671,000","3,956,110,000",,"11,610,892,000","-639,193,000",,"-808,680,000","-808,991,000","1,353,354,000","600,274,000","-3,666,121,000","-3,391,196,000","1,975,000,000","-6,866,000",,,"2,499,879,000",2GO,2010,2010,Q4,2010-12-31 00:00:00
,"4,844,000,000",,,"12,575,000,000",,"8,523,000,000",,"8,596,000,000","3,963,000,000","3,979,000,000",,"11,611,000,000",,,"-1,114,000,000","-1,114,000,000","1,349,000,000","390,000,000","-3,671,000,000","-3,412,000,000",,,,,"2,730,000,000",2GO,2009,2009,Q4,2009-12-31 00:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,2GO,2008,2008,Q4,2008-12-31 00:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,2GO,2007,2007,Q4,2007-12-31 00:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,2GO,2006,2006,Q4,2006-12-31 00:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,2GO,2005,2005,Q4,2005-12-31 00:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,2GO,2004,2004,Q4,2004-12-31 00:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,2GO,2003,2003,Q4,2003-12-31 00:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,2GO,2002,2002,Q4,2002-12-31 00:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,2GO,2001,2001,Q4,2001-12-31 00:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,2GO,2000,2000,Q4,2000-12-31 00:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,2GO,1999,1999,Q4,1999-12-31 00:00:00
